,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
1,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa100,Percent Time SpO2 < 75,Percentage of total estimated sleep duration with < 75% oxygen saturation from type III home sleep apnea test,,"Sleep duration is the interval between sleep onset time and lights on/out-bed time while asleep. Estimated sleep duration, providing an approximation of total sleep duration (i.e. total sleep time) inferred from analysis of non-EEG channels [Zhao et al., 2017 (PMID:27707441)]( https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181603/)",numeric,percent,,pctdursp_salt75_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Oxygen Saturation,pctdursp_salt75_f1t3
27,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa99,Percent Time SpO2 < 80,Percentage of total estimated sleep duration with < 80% oxygen saturation from type III home sleep apnea test,,Sleep duration is the interval between sleep onset time and lights on/out-bed time while asleep,numeric,percent,,pctdursp_salt80_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Oxygen Saturation,pctdursp_salt80_f1t3
26,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa98,Percent Time SpO2 < 85,Percentage of total estimated sleep duration with < 85% oxygen saturation from type III home sleep apnea test,,Sleep duration is the interval between sleep onset time and lights on/out-bed time while asleep,numeric,percent,,pctdursp_salt85_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Oxygen Saturation,pctdursp_salt85_f1t3
25,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa97,Percent Time SpO2 < 90,Percentage of total estimated sleep duration with < 90% oxygen saturation from type III home sleep apnea test,,Sleep duration is the interval between sleep onset time and lights on/out-bed time while asleep,numeric,percent,,pctdursp_salt90_f1t3,NA,NA,Sleep Monitoring/Polysomnography/Oxygen Saturation,pctdursp_salt90_f1t3
448,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa96,Percent Time SpO2 < 95,Percentage duration of sleep with oxygen saturation < 95% from type III home sleep apnea test,,NA,numeric,percent,,pctdursp_salt95_f1t3,NA,NA,NA,pctdursp_salt95_f1t3
418,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa42,Total Time spent in Apnea/Hypopnea event (all desats) (hours),Total duration of apnea and hypopnea ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,hours,,ttldurah_ap0nhp5x0n_f1t3,NA,NA,NA,ttldurah_ap0nhp5x0n_f1t3
424,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa51,Total Time spent in Apnea/Hypopnea event (1% desat) (hours),Total duration of apnea and hypopnea ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,hours,,ttldurah_ap0nhp5x1n_f1t3,NA,NA,NA,ttldurah_ap0nhp5x1n_f1t3
427,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa60,Total Time spent in Apnea/Hypopnea event (3% desat) (hours),Total duration of apnea and hypopnea : apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation from type III home sleep apnea test,,NA,numeric,hours,,ttldurah_ap0nhp5x3n_f1t3,NA,NA,NA,ttldurah_ap0nhp5x3n_f1t3
433,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa69,Total Time spent in Apnea/Hypopnea event (4% desat) (hours),Total duration of apnea and hypopnea ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,hours,,ttldurah_ap0nhp5x4n_f1t3,NA,NA,NA,ttldurah_ap0nhp5x4n_f1t3
420,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa44,"Total Time spent in Apnea/Hypopnea event (all desats, supine) (seconds)",Total duration of apnea and hypopnea in supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_pb_ap0nhp5x0n_f1t3,NA,NA,NA,ttldurah_pb_ap0nhp5x0n_f1t3
426,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa53,"Total Time spent in Apnea/Hypopnea event (1% desat, supine) (seconds)",Total duration of apnea and hypopnea in supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_pb_ap0nhp5x1n_f1t3,NA,NA,NA,ttldurah_pb_ap0nhp5x1n_f1t3
429,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa62,"Total Time spent in Apnea/Hypopnea event (3% desat, supine) (seconds)",Total duration of apnea and hypopnea in supine position : apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_pb_ap0nhp5x3n_f1t3,NA,NA,NA,ttldurah_pb_ap0nhp5x3n_f1t3
435,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa71,"Total Time spent in Apnea/Hypopnea event (4% desat, supine) (seconds)",Total duration of apnea and hypopnea in supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_pb_ap0nhp5x4n_f1t3,NA,NA,NA,ttldurah_pb_ap0nhp5x4n_f1t3
419,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa43,"Total Time spent in Apnea/Hypopnea event (all desats, non-supine) (seconds)",Total duration of apnea and hypopnea in non-supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_po_ap0nhp5x0n_f1t3,NA,NA,NA,ttldurah_po_ap0nhp5x0n_f1t3
425,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa52,"Total Time spent in Apnea/Hypopnea event (1% desat, non-supine) (seconds)",Total duration of apnea and hypopnea in non-supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_po_ap0nhp5x1n_f1t3,NA,NA,NA,ttldurah_po_ap0nhp5x1n_f1t3
428,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa61,"Total Time spent in Apnea/Hypopnea event (3% desat, non-supine) (seconds)",Total duration of apnea and hypopnea in non-supine position : apneas with no oxygen desaturation threshold used+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_po_ap0nhp5x3n_f1t3,NA,NA,NA,ttldurah_po_ap0nhp5x3n_f1t3
434,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa70,"Total Time spent in Apnea/Hypopnea event (4% desat, non-supine) (seconds)",Total duration of apnea and hypopnea in non-supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurah_po_ap0nhp5x4n_f1t3,NA,NA,NA,ttldurah_po_ap0nhp5x4n_f1t3
436,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa78,Total Time spent in Apnea event (all desats) (hours),Total duration of apnea : apneas with no oxygen desaturation threshold used from type III home sleep apnea test,,NA,numeric,hours,,ttldurap_ap0n_f1t3,NA,NA,NA,ttldurap_ap0n_f1t3
438,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa80,"Total Time spent in Apnea event (all desats, supine) (seconds)",Total duration of apnea in supine position : apneas with no oxygen desaturation threshold used from type III home sleep apnea test,,NA,numeric,seconds,,ttldurap_pb_ap0n_f1t3,NA,NA,NA,ttldurap_pb_ap0n_f1t3
437,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa79,"Total Time spent in Apnea event (all desats, non-supine) (seconds)",Total duration of apnea in non-supine position : apneas with no oxygen desaturation threshold used from type III home sleep apnea test,,NA,numeric,seconds,,ttldurap_po_ap0n_f1t3,NA,NA,NA,ttldurap_po_ap0n_f1t3
439,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa87,Total Time spent in Central Apnea event (all desats) (hours),Total duration of central apnea ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,hours,,ttldurca_ca0n_f1t3,NA,NA,NA,ttldurca_ca0n_f1t3
441,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa89,"Total Time spent in Central Apnea event (all desats, supine) (seconds)",Total duration of central apnea in supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurca_pb_ca0n_f1t3,NA,NA,NA,ttldurca_pb_ca0n_f1t3
440,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa88,"Total Time spent in Central Apnea event (all desats, non-supine) (seconds)",Total duration of central apnea in non-supine position ###NO_MATCH### from type III home sleep apnea test,,NA,numeric,seconds,,ttldurca_po_ca0n_f1t3,NA,NA,NA,ttldurca_po_ca0n_f1t3
408,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa27,Total Time in Bed (hours),Total period of bed (in-bed) from type III home sleep apnea test,,NA,numeric,hours,,ttlprdbd_f1t3,NA,NA,NA,ttlprdbd_f1t3
409,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa28,Recording Time (hours),Total period of recording from type III home sleep apnea test,,NA,numeric,hours,,ttlprdrd_f1t3,NA,NA,NA,ttlprdrd_f1t3
410,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa29,Recording Time (seconds),Total period of recording from type III home sleep apnea test,,NA,numeric,seconds,,ttlprdrd_f1t3,NA,NA,NA,ttlprdrd_f1t3
411,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa30,Valid Recording Time (hours),Total period of recording from type III home sleep apnea test,,NA,numeric,hours,,ttlprdrd_ir_f1t3,NA,NA,NA,ttlprdrd_ir_f1t3
412,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa31,Valid Recording Time (seconds),Total period of recording from type III home sleep apnea test,,NA,numeric,seconds,,ttlprdrd_ir_f1t3,NA,NA,NA,ttlprdrd_ir_f1t3
414,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa34,Valid Recording Time (Hours) - Supine,Total period of recording in supine position from type III home sleep apnea test,,NA,numeric,hours,,ttlprdrd_ir_pb_f1t3,NA,NA,NA,ttlprdrd_ir_pb_f1t3
413,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa32,Valid Recording Time (Hours) - Non-Supine,Total period of recording in non-supine position from type III home sleep apnea test,,NA,numeric,hours,,ttlprdrd_ir_po_f1t3,NA,NA,NA,ttlprdrd_ir_po_f1t3
400,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa13,Hours of valid recording time in supine position - SpO2,Total period of recording in supine position from type III home sleep apnea test,,NA,numeric,hours,,ttlprdrd_pb_f1t3,NA,NA,NA,ttlprdrd_pb_f1t3
401,Sleep Monitoring/Polysomnography/Sleep Architecture,slpa14,Hours of valid recording time in non-supine position - SpO2,Total period of recording in non-supine position from type III home sleep apnea test,,NA,numeric,hours,,ttlprdrd_po_f1t3,NA,NA,NA,ttlprdrd_po_f1t3
392,Sleep Monitoring/Polysomnography/Sound Events,slpa115,Mean Snore level (dB), ,,NA,numeric,decibels,,,NA,NA,NA,NA
393,Sleep Monitoring/Polysomnography/Sound Events,slpa116,Total time spent in loud snoring, ,,NA,numeric,minutes,,,NA,NA,NA,NA
394,Sleep Monitoring/Polysomnography/Sound Events,slpa117,Percent of time with Snoring level > 30 dB, ,,NA,numeric,percent,,,NA,NA,NA,NA
395,Sleep Monitoring/Polysomnography/Sound Events,slpa118,Percent of time with Snoring level > 40 dB, ,,NA,numeric,percent,,,NA,NA,NA,NA
396,Sleep Monitoring/Polysomnography/Sound Events,slpa119,Percent of time with Snoring level > 50 dB, ,,NA,numeric,percent,,,NA,NA,NA,NA
397,Sleep Monitoring/Polysomnography/Sound Events,slpa12,Hours of valid recording time - SpO2, ,,NA,numeric,hours,,,NA,NA,NA,NA
398,Sleep Monitoring/Polysomnography/Sound Events,slpa120,Percent of time with Snoring level > 60 dB, ,,NA,numeric,percent,,,NA,NA,NA,NA
933,Sleep Questionnaires,slea_form,SLEA Form version,NA,,NA,choices,,form_language,hchs_sleep_questionnaire,NA,NA,NA,NA
935,Sleep Questionnaires,slea1a,,NA,,NA,time,,,hchs_sleep_questionnaire,NA,NA,NA,NA
937,Sleep Questionnaires,slea1c,,NA,,NA,time,,,hchs_sleep_questionnaire,NA,NA,NA,NA
939,Sleep Questionnaires,slea2a,,NA,,NA,time,,,hchs_sleep_questionnaire,NA,NA,NA,NA
948,Sleep Questionnaires,slea2c,,NA,,NA,time,,,hchs_sleep_questionnaire,NA,NA,NA,NA
978,Sleep Questionnaires/Chronotype,sqea1,Get up time if free to plan day,NA,,NA,choices,,getuptime,hchs_sleep_questionnaire_II;chronotype,NA,NA,NA,chronotype
989,Sleep Questionnaires/Chronotype,sqea2,Tiredness in 1st 30 min after woken in morning,NA,,NA,choices,,tiredmorning,hchs_sleep_questionnaire_II;chronotype,NA,NA,NA,chronotype
996,Sleep Questionnaires/Chronotype,sqea3,Time in evening feel tired and need sleep,NA,,NA,choices,,feeltired,hchs_sleep_questionnaire_II;chronotype,NA,NA,NA,chronotype
997,Sleep Questionnaires/Chronotype,sqea4,'Feeling best' time of day,NA,,NA,choices,,feelingbest,hchs_sleep_questionnaire_II;chronotype,NA,NA,NA,chronotype
998,Sleep Questionnaires/Chronotype,sqea5,Morning or Evening type,NA,,NA,choices,,morneve,hchs_sleep_questionnaire_II;chronotype,NA,NA,NA,chronotype
1012,Sleep Questionnaires/Chronotype,rmeq,Reduced Morningness Eveningness Questionnaire Raw Score,NA,,NA,numeric,,,,NA,NA,NA,NA
1013,Sleep Questionnaires/Chronotype,rmeq_c5,5-level grouped Reduced Morningness Eveningness Questionnaire Raw Score,NA,,NA,choices,,rmeq_c5,,NA,NA,NA,NA
923,Sleep Questionnaires/Hypersomnia,slea10,Feel Sleepy during the Day,NA,,NA,choices,,sleep_habits,hchs_sleep_questionnaire;subjective_sleepiness,NA,NA,NA,subjective_sleepiness
925,Sleep Questionnaires/Hypersomnia,slea12i,Doze Off Situations: At the dinner table,NA,,NA,choices,,epworth,hchs_sleep_questionnaire;subjective_sleepiness,NA,NA,NA,subjective_sleepiness
926,Sleep Questionnaires/Hypersomnia,slea12j,Doze Off Situations: While driving,NA,,NA,choices,,epworth,hchs_sleep_questionnaire;subjective_sleepiness,NA,NA,NA,subjective_sleepiness
1004,Sleep Questionnaires/Hypersomnia,ess,Epworth Sleepiness Scale,NA,"This is an integer value with range from 0-24. The Epworth Sleepiness Scale assesses the daytime sleepiness of patients. Dr Murray W Johns owns the copyright in the ESS (Copyright © M.W.Johns 1990-1997). The official website is [http://epworthsleepinessscale.com/](http://epworthsleepinessscale.com/). Algorithm: The ESS is computed by adding ALL 8 ITEMS (SLEA12A TO SLEA12H). If any item is missing then ESS is missing. Warning: The levels of each item need to be recoded as follows: No chance (from 1 to 0), slight chance (from 2 to 1), moderate chance (from 3 to 2) and high chance (from 4 to 3).",NA,integer,,,,NA,NA,NA,NA
1005,Sleep Questionnaires/Hypersomnia,ess_ge10,Excessive sleepiness (ESS>=10),NA,,NA,choices,,noyes01,,NA,NA,NA,NA
1006,Sleep Questionnaires/Hypersomnia,ess_ge10_sueno,"Excessive sleepiness, collected at the Sueno visit",NA,"Excessive daytime sleepiness, as defined as an ESS score greater than or equal to 10",NA,choices,,noyes01,,NA,NA,NA,NA
1007,Sleep Questionnaires/Hypersomnia,ess_sueno,Epworth Sleepiness Scale,NA,"This is an integer value with range from 0-24. The Epworth Sleepiness Scale assesses the daytime sleepiness of patients. Dr Murray W Johns owns the copyright in the ESS (Copyright © M.W.Johns 1990-1997). The website is [http://epworthsleepinessscale.com](http://epworthsleepinessscale.com). Algorithm: The ESS_SUENO is computed by adding ALL 8 ITEMS (SPEA12A TO SPEA12H). If any item is missing then ESS_SUENO is missing. Warning: The levels of each item need to be recoded as follows: No chance (from 1 to 0), slight chance (from 2 to 1), moderate chance (from 3 to 2) and high chance (from 4 to 3).",NA,integer,,,,NA,NA,NA,NA
949,Sleep Questionnaires/Hypersomnia,spea10,Times felt sleepy during the day in past 4 wks,NA,,NA,choices,,freq4weeks,,NA,NA,NA,NA
959,Sleep Questionnaires/Hypersomnia,spea12i,Doze off chance: At dinner table,NA,,NA,choices,,epworth,,NA,NA,NA,NA
960,Sleep Questionnaires/Hypersomnia,spea12j,Doze off chance: While driving,NA,,NA,choices,,epworth,,NA,NA,NA,NA
451,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12a,Doze Off Situations: Sitting and Reading,Epworth Sleepiness Scale: Chance of dozing while sitting and reading,,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/abc/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epworth;ess_1sitread,NA,NA,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_1sitread
452,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12b,Doze Off Situations: Watching TV,Epworth Sleepiness Scale: Chance of dozing while watching TV,,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/abc/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epworth;ess_2watchingtv,NA,NA,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_2watchingtv
453,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12c,Doze Off Situations: Sitting in a public place,"Epworth Sleepiness Scale: Chance of dozing while sitting, inactive in a public place",,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/abc/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_3sitinactive,NA,NA,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_3sitinactive
454,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12d,Doze Off Situations: Riding as a passenger in,Epworth Sleepiness Scale: Chance of dozing as a passenger in a car for an hour without a break,,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/abc/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_4passenger,NA,NA,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_4passenger
455,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12e,Doze Off Situations: Lying down to rest in afternoon,Epworth Sleepiness Scale: Chance of dozing while lying down in the afternoon when circumstances permit,,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/abc/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_5lyingdown,NA,NA,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_5lyingdown
456,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),slea12f,Doze Off Situations: Sitting and talking,Epworth Sleepiness Scale: Chance of dozing while sitting and talking to someone,,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/abc/variables?search=epworth),choices,,epworth,hchs_sleep_questionnaire;epwroth;ess_6sittalk,NA,NA,Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_6sittalk
